,grade,负债水平,年龄,closed_accounts,past_due_accounts,open_accounts,enquiry_alert,一年内信用卡查询次数,一年内贷款查询次数,在用信用卡数,信用卡总额度,信用卡平均额度,当前贷款笔数,贷款总额度,贷款平均额度,近一年逾期30天以上次数,平均每月还款额,学历,就业状况
996,,416644,53,6,0,6,78,0,20,1,34000,34000,5,462918,92584,0,23979,,
997,,165316,23,1,0,3,36,0,3,1,29000,29000,2,127969,63985,0,8049,,
998,,47859,37,4,0,3,28,0,3,0,0,0,3,38000,12667,2,2491,,
999,,119652,21,1,0,9,87,6,4,8,68244,8531,1,50000,50000,0,3405,,
1000,,273695,29,22,0,6,61,0,4,1,20000,20000,5,230536,46107,1,6072,,
1001,,30605,26,6,0,2,62,0,0,1,21000,21000,1,32471,32471,1,14320,,
1002,,163088,22,0,0,2,30,0,4,0,0,0,2,160000,80000,0,2960,,
1003,,135026,59,6,0,7,49,0,27,0,0,0,7,201000,28714,1,3268,,
1004,,144975,25,0,0,4,34,1,16,0,0,0,4,140000,35000,0,1187,,
1005,,233878,35,1,0,4,76,1,1,1,32000,32000,3,322000,107333,0,42113,,
1006,,204702,46,13,0,5,96,8,7,4,43000,10750,1,200000,200000,0,27968,,
1007,,407865,38,9,0,11,75,1,5,6,228000,38000,5,291992,58398,0,12542,,
1008,,226417,34,10,0,5,33,0,5,0,0,0,5,493364,98673,1,25308,,
1009,,27459,19,0,0,1,4,0,2,0,0,0,1,30000,30000,0,2000,,
1010,,45416,22,0,0,2,19,1,7,0,0,0,2,45000,22500,0,22780,,
1011,,264120,30,1,0,3,105,0,3,1,212000,212000,2,146000,73000,0,4219,,
1012,,322380,39,10,0,7,73,0,13,0,0,0,7,338000,48286,3,9814,,
1013,,56628,47,6,0,1,1,0,1,0,0,0,1,99507,99507,6,3074,,
1014,,118129,23,0,0,6,18,0,11,0,0,0,6,120000,20000,0,1023,,
1015,,138741,60,7,0,5,64,0,4,0,0,0,5,148000,29600,0,7430,,
1016,,365356,24,6,0,6,78,1,21,1,26000,26000,5,255000,51000,0,5607,,
1017,,203088,25,4,0,6,119,2,8,2,50000,25000,4,170000,42500,2,15680,,
1018,,294778,27,5,0,5,49,0,3,2,72000,36000,3,270000,90000,0,5706,,
1019,,51976,19,0,0,4,17,6,11,0,0,0,4,61000,15250,0,926,,
1020,,80092,21,3,0,4,65,0,12,0,0,0,4,85000,21250,0,3765,,
1021,,86428,20,0,0,6,32,0,15,0,0,0,6,96000,16000,0,728,,
1022,,198431,25,1,0,6,60,10,12,10,610800,61080,2,100000,50000,0,8586,,
1023,,110426,38,19,0,6,56,0,13,0,0,0,6,125000,20833,3,2561,,
1024,,186164,31,14,0,6,83,1,18,0,0,0,6,195000,32500,0,6374,,
1025,,369401,37,22,0,9,72,0,16,3,20000,6667,6,390000,65000,6,21010,,
1026,,497386,27,11,0,2,25,0,4,0,0,0,2,348786,174393,5,3470,,
1027,,271810,37,4,0,10,80,0,8,4,376800,94200,6,260000,43333,0,1813,,
1028,,6396,26,3,0,3,15,0,4,0,0,0,3,25000,8333,1,11961,,
1029,,255744,32,4,0,10,52,0,1,4,55000,13750,6,672321,112054,6,3208,,
1030,,44017,56,3,0,9,80,1,4,7,244100,34871,2,153000,76500,2,346,,
1031,,116283,24,4,0,3,17,2,5,2,20000,10000,1,100000,100000,1,71,,
1032,,20026,23,0,0,2,8,1,5,0,0,0,2,50000,25000,0,21190,,
1033,,39388,30,8,0,2,22,3,2,2,50000,25000,0,0,0,3,8223,,
1034,,263052,24,9,0,6,114,0,4,4,143000,35750,2,170000,85000,1,7077,,
1035,,337019,51,0,0,6,93,3,5,3,236000,78667,3,215000,71667,0,5801,,
1036,,298999,38,15,0,10,73,1,22,0,0,0,10,310000,31000,1,17570,,
1037,,47403,25,0,0,1,24,0,27,0,0,0,2,100000,50000,0,2500,,
1038,,285617,26,7,0,8,103,0,21,0,0,0,8,327000,40875,0,11474,,
1039,,324473,26,22,0,8,120,0,16,0,0,0,8,330000,41250,2,18423,,
1040,,183083,51,14,0,4,26,1,14,1,10000,10000,3,155000,51667,1,15523,,
1041,,133550,26,8,0,6,70,0,10,2,32000,16000,4,90000,22500,0,48423,,
1042,,172795,39,12,0,8,59,1,16,0,0,0,8,238000,29750,0,8431,,
1043,,8290,63,1,0,1,52,0,0,1,140000,140000,0,0,0,0,20075,,
1044,,195104,30,28,0,3,81,0,22,0,0,0,3,142000,47333,1,16496,,
1045,,170737,38,10,0,1,42,3,7,0,0,0,1,170000,170000,0,11132,,
1046,,738838,37,8,0,8,148,0,0,3,107000,35667,5,760000,152000,0,124823,,
1047,,29305,19,0,0,5,18,4,17,4,20000,5000,6,52000,8667,0,830,,
1048,,680727,26,0,0,5,75,0,18,2,418000,209000,3,180000,60000,0,3393,,
1049,,282949,24,6,0,6,102,0,13,8,188000,23500,4,524880,131220,0,16533,,
1050,,483747,26,3,0,5,53,3,4,0,0,0,5,487199,97440,0,1884,,
1051,,78171,18,0,0,3,10,3,3,1,20000,20000,2,58805,29403,0,1280,,
1052,,472950,29,2,0,8,116,2,5,2,94000,47000,6,412500,68750,0,890,,
1053,,287475,26,8,0,4,91,4,17,1,21000,21000,3,300000,100000,0,28479,,
1054,,295424,29,14,0,8,66,0,25,0,0,0,8,388017,48502,1,7663,,
1055,,340795,37,17,0,5,39,0,3,1,36000,36000,4,300000,75000,9,18205,,
1056,,94509,23,2,0,3,27,0,12,0,0,0,3,85000,28333,0,1094,,
1057,,240046,24,7,0,5,67,0,13,1,30000,30000,4,242305,60576,0,6946,,
1058,,190964,27,7,0,5,64,3,2,1,15000,15000,4,180000,45000,1,2570,,
1059,,491144,38,6,0,6,102,3,16,2,50000,25000,4,353000,88250,0,13248,,
1060,,310249,47,2,0,9,35,0,1,4,77600,19400,5,264277,52855,0,10256,,
1061,,4776,25,1,0,1,11,1,2,0,0,0,1,15000,15000,1,5595,,
1062,,211580,33,3,0,4,46,1,7,1,44000,44000,3,170000,56667,0,1896,,
1063,,280836,23,4,0,11,116,1,7,4,92000,23000,7,326320,46617,1,5092,,
1064,,629775,48,22,0,7,114,1,6,2,45000,22500,5,530000,106000,0,40501,,
1065,,9886,23,0,0,1,53,0,0,1,10000,10000,0,0,0,0,300,,
1066,,303980,33,22,0,9,138,2,15,3,20000,6667,6,252000,42000,2,10275,,
1067,,244574,25,11,0,8,87,0,7,4,22000,5500,4,245000,61250,0,6132,,
1068,,185231,28,7,0,7,91,1,5,2,71000,35500,5,129760,25952,1,499,,
1069,,23305,22,1,0,2,45,4,4,1,10000,10000,1,15000,15000,0,443,,
1070,,76491,20,1,0,3,36,0,7,0,0,0,3,75000,25000,0,6278,,
1071,,140151,22,3,0,6,109,1,3,3,18000,6000,3,130000,43333,0,5441,,
1072,,18129,31,12,0,2,11,0,0,1,14000,14000,1,200000,200000,1,9194,,
1073,,140320,25,0,0,3,32,0,13,1,43000,43000,2,88666,44333,0,2907,,
1074,,151707,19,0,0,6,28,3,7,0,0,0,6,135000,22500,0,1602,,
1075,,388831,26,10,0,7,82,0,4,1,20000,20000,6,310000,51667,1,6464,,
1076,,92181,27,3,0,4,102,0,15,2,24000,12000,2,80000,40000,0,8968,,
1077,,445561,38,21,0,7,117,8,12,2,40000,20000,5,450000,90000,1,45972,,
1078,,28620,22,0,0,3,56,0,0,3,28000,9333,0,0,0,0,2967,,
1079,,335273,43,26,0,11,77,0,28,0,0,0,11,599903,54537,4,17240,,
1080,,681843,49,24,0,9,48,0,25,0,0,0,9,555000,61667,3,35042,,
1081,,58224,22,3,1,4,77,2,57,2,20000,10000,10,190000,19000,4,3653,,
1082,,231756,40,1,0,5,86,0,1,3,38000,12667,2,503000,251500,0,1917,,
1083,,61852,26,5,0,4,69,11,11,3,30000,10000,9,235000,26111,0,988,,
1084,,81296,23,3,0,4,65,1,2,0,0,0,4,125000,31250,0,3525,,
1085,,406756,44,7,0,8,28,0,4,5,441998,88400,3,619944,206648,0,4836,,
1086,,119714,24,8,0,6,120,1,14,2,40000,20000,4,130000,32500,0,11353,,
1087,,0,24,4,0,1,45,0,12,0,0,0,1,40000,40000,0,18080,,
1088,,75986,23,0,0,5,51,1,1,4,72000,18000,1,16000,16000,0,832,,
1089,,218321,29,26,0,10,100,0,20,1,20000,20000,9,414000,46000,4,7973,,
1090,,16011,20,0,0,1,27,0,2,1,20000,20000,0,0,0,0,3780,,
1091,,9903,21,2,0,1,44,2,3,1,10000,10000,0,0,0,0,833,,
1092,,6648,23,1,0,3,19,0,14,0,0,0,3,13000,4333,1,970,,
1093,,6940,30,1,0,1,12,0,12,0,0,0,1,10000,10000,0,2363,,
1094,,99640,23,2,0,8,39,0,22,2,22000,11000,6,70000,11667,0,1208,,
1095,,193798,26,10,0,3,21,0,4,1,15000,15000,2,120000,60000,0,21286,,
1096,,211230,46,5,0,8,77,0,9,12,72000,6000,5,395000,79000,0,19478,,
1097,,294524,45,26,0,8,51,0,20,1,3000,3000,7,290000,41429,0,12473,,
1098,,778906,33,16,0,7,128,2,8,3,30000,10000,4,623000,155750,3,27526,,
1099,,275038,41,10,1,6,95,2,21,6,70000,11667,8,465000,58125,2,54910,,
1100,,0,29,5,0,1,41,1,3,0,0,0,1,138000,138000,2,50300,,
1101,,69280,21,4,0,3,80,1,3,1,25000,25000,2,60000,30000,0,1845,,
1102,,128276,23,5,0,9,110,3,9,6,60000,10000,3,55000,18333,0,1301,,
1103,,0,34,1,0,2,39,0,1,0,0,0,2,36000,18000,1,0,,
1104,,319975,54,12,0,11,82,1,12,3,76000,25333,8,402000,50250,5,10858,,
1105,,0,21,0,0,1,28,0,1,1,30000,30000,0,0,0,0,0,,
1106,,1213,22,0,0,1,6,4,2,1,10000,10000,0,0,0,0,0,,
1107,,159429,27,5,0,2,92,0,6,0,0,0,2,158944,79472,0,2563,,
1108,,35937,24,7,0,6,68,0,25,0,0,0,6,95000,15833,0,4310,,
1109,,201659,28,0,0,1,34,0,1,0,0,0,1,200000,200000,0,6540,,
1110,,547306,48,11,0,10,83,0,16,3,143000,47667,7,500000,71429,2,18502,,
1111,,198414,44,7,0,6,29,3,10,1,20000,20000,5,155000,31000,0,10360,,
1112,,108119,35,9,0,5,62,0,19,0,0,0,5,145000,29000,1,8380,,
1113,,110529,41,2,0,3,63,0,2,1,178000,178000,2,101000,50500,0,1257,,
1114,,297428,49,12,0,2,43,0,3,0,0,0,2,240000,120000,0,8645,,
1115,,397873,29,6,0,7,69,3,4,6,95997,16000,1,210000,210000,0,11255,,
1116,,241888,29,9,0,6,114,0,6,1,18000,18000,5,289021,57804,2,10834,,
1117,,274810,22,0,0,7,50,4,6,5,119887,23977,2,200000,100000,0,5889,,
1118,,116483,24,3,0,3,39,0,4,0,0,0,3,130000,43333,0,1354,,
1119,,226158,34,14,0,5,71,1,7,0,0,0,5,326883,65377,0,15250,,
1120,,41789,27,0,0,3,8,1,6,0,0,0,3,40000,13333,0,705,,
1121,,312688,33,7,0,5,89,0,1,4,98000,24500,1,250000,250000,0,179,,
1122,,68674,23,1,0,2,2,0,1,1,46000,46000,1,30000,30000,0,3040,,
1123,,30468,19,0,0,1,3,0,3,0,0,0,1,30000,30000,0,0,,
1124,,4672,59,5,0,6,76,0,0,6,322000,53667,0,0,0,1,340,,
1125,,165275,48,5,0,2,47,0,6,0,0,0,2,170000,85000,1,9195,,
1126,,71735,19,0,0,3,16,0,10,0,0,0,3,80000,26667,0,2789,,
1127,,38985,35,4,0,2,5,1,1,1,30000,30000,1,10000,10000,2,644,,
1128,,437974,29,3,0,6,80,0,2,3,321500,107167,3,208000,69333,1,1394,,
1129,,518725,35,9,0,9,69,2,14,0,0,0,9,560000,62222,1,29209,,
1130,,17076,20,2,0,3,10,6,4,3,20000,6667,0,0,0,0,3431,,
1131,,51742,23,2,0,4,50,2,6,0,0,0,4,73000,18250,1,3760,,
1132,,232568,35,6,0,4,60,0,11,1,55000,55000,3,185000,61667,1,7872,,
1133,,0,22,4,0,2,13,0,0,0,0,0,2,35000,17500,1,9043,,
1134,,11448,26,4,0,1,3,0,2,0,0,0,1,10000,10000,0,12218,,
1135,,179793,21,12,0,6,55,4,13,2,15000,7500,4,142000,35500,0,6572,,
1136,,133974,28,1,0,6,31,0,17,0,0,0,6,142000,23667,0,1773,,
1137,,190589,36,17,0,6,56,3,2,5,94000,18800,1,95000,95000,0,23805,,
1138,,256821,30,7,0,6,47,1,8,2,103000,51500,4,142000,35500,0,2916,,
1139,,582202,45,8,0,10,117,1,7,5,155000,31000,5,578020,115604,0,19407,,
1140,,113694,19,2,0,9,34,3,21,1,10000,10000,8,115000,14375,0,974,,
1141,,60047,27,3,0,4,19,0,12,1,50000,50000,3,41000,13667,0,892,,
1142,,346896,48,8,0,7,72,0,5,1,20000,20000,6,424000,70667,0,30407,,
1143,,1033003,32,27,0,8,132,5,15,1,10000,10000,7,755000,107857,5,55858,,
1144,,181997,49,8,0,3,33,6,5,0,0,0,3,170000,56667,2,23527,,
1145,,28450,20,1,0,1,29,0,7,0,0,0,1,28409,28409,0,800,,
1146,,152865,24,7,0,7,64,0,27,0,0,0,7,160000,22857,0,5415,,
1147,,40732,21,1,0,2,46,1,4,1,10000,10000,1,30000,30000,0,1047,,
1148,,175304,24,2,0,4,39,1,3,2,105000,52500,2,80000,40000,0,802,,
1149,,0,21,0,0,1,13,0,0,1,7000,7000,0,0,0,0,0,,
1150,,141993,23,5,0,6,40,0,4,1,10000,10000,5,180000,36000,2,5004,,
1151,,253678,24,11,0,6,51,0,5,1,7000,7000,5,300000,60000,1,23888,,
1152,,295817,24,4,0,3,57,0,4,0,0,0,3,210000,70000,0,13017,,
1153,,48620,35,0,0,3,24,0,0,2,79000,39500,1,5000,5000,0,133,,
1154,,95895,23,9,0,5,56,3,13,0,0,0,5,110000,22000,1,3283,,
1155,,55661,20,2,0,4,19,2,9,0,0,0,4,67219,16805,0,3030,,
1156,,304445,40,7,0,8,127,0,2,3,130000,43333,5,693048,138610,0,14929,,
1157,,482600,34,5,0,7,51,0,4,2,20000,10000,5,516000,103200,0,21510,,
1158,,61045,42,1,0,5,17,0,7,0,0,0,5,65000,13000,0,380,,
1159,,24999,40,0,0,1,5,1,4,0,0,0,1,25000,25000,0,1192,,
1160,,273443,33,3,0,5,97,2,1,2,74000,37000,3,235789,78596,0,739,,
1161,,48852,27,4,0,4,49,0,11,0,0,0,4,55000,13750,1,5611,,
1162,,37419,20,0,0,6,18,7,6,12,82000,6833,1,10000,10000,0,385,,
1163,,334038,28,10,0,5,125,1,6,1,5000,5000,4,337000,84250,0,2071,,
1164,,23372,31,1,0,4,23,0,0,3,17000,5667,1,10000,10000,0,1037,,
1165,,582198,33,18,0,10,93,0,14,1,115000,115000,9,507771,56419,1,16364,,
1166,,428913,24,16,0,16,118,0,24,2,123000,61500,14,530000,37857,3,6522,,
1167,,148400,49,5,0,5,34,3,22,0,0,0,5,140000,28000,0,9296,,
1168,,227812,33,7,0,7,111,3,4,4,53000,13250,3,197697,65899,1,2934,,
1169,,16700,38,1,0,2,18,0,11,0,0,0,2,20000,10000,0,700,,
1170,,142470,29,5,0,5,103,0,9,1,79000,79000,4,180000,45000,0,3167,,
1171,,33715,23,6,0,2,9,0,0,0,0,0,2,55000,27500,1,11554,,
1172,,19009,38,7,0,2,18,0,8,0,0,0,2,20000,10000,1,2485,,
1173,,141640,37,5,0,15,37,2,2,15,302000,20133,0,0,0,1,4005,,
1174,,57221,21,0,0,2,64,1,6,0,0,0,2,80000,40000,0,1325,,
1175,,89092,26,2,0,4,139,0,6,2,101000,50500,2,60000,30000,0,2642,,
1176,,0,22,1,0,1,14,1,0,1,40000,40000,0,0,0,0,1591,,
1177,,323774,39,3,0,6,78,0,0,3,330000,110000,3,466099,155366,0,5638,,
1178,,170500,23,3,0,4,28,0,18,0,0,0,4,195000,48750,0,4,,
1179,,242708,25,0,0,6,37,0,4,3,12000,4000,3,236000,78667,0,10364,,
1180,,9919,34,0,0,1,28,4,0,1,16000,16000,0,0,0,0,620,,
1181,,315055,27,5,0,7,133,0,11,3,52000,17333,4,219000,54750,0,10131,,
1182,,88846,28,2,0,2,67,0,0,1,10000,10000,1,78963,78963,0,980,,
1183,,429153,22,5,0,5,43,0,10,1,44000,44000,4,377500,94375,0,71892,,
1184,,16972,20,1,0,7,45,2,1,7,40000,5714,0,0,0,0,2589,,
1185,,253602,24,3,0,11,84,5,17,4,154000,38500,7,118000,16857,0,1557,,
1186,,116367,20,1,0,4,44,5,13,0,0,0,4,115000,28750,0,1295,,
1187,,202189,40,7,0,7,67,1,14,1,12000,12000,6,375884,62647,0,14896,,
1188,,62424,21,1,0,2,21,1,11,1,45000,45000,1,26930,26930,1,1674,,
1189,,332159,38,3,0,5,45,10,31,2,50000,25000,8,520000,65000,0,16976,,
1190,,49951,22,0,0,4,20,0,3,2,18000,9000,2,35000,17500,0,891,,
1191,,41274,22,0,0,12,47,4,0,12,43998,3667,0,0,0,0,840,,
1192,,328334,33,8,0,5,125,1,5,1,30000,30000,4,332000,83000,0,28785,,
1193,,577167,29,8,0,6,145,0,7,1,40000,40000,5,530000,106000,0,21560,,
1194,,128741,24,3,0,5,82,1,24,0,0,0,5,135545,27109,0,4927,,
1195,,40049,26,6,0,2,43,2,14,1,10000,10000,1,30000,30000,4,11491,,
1196,,4226,21,0,0,1,1,1,0,1,10000,10000,0,0,0,0,1395,,
1197,,386916,40,2,0,5,47,3,1,2,190000,95000,3,290000,96667,2,14396,,
1198,,9156,21,0,0,1,59,1,2,1,10000,10000,0,0,0,0,4000,,
1199,,246922,41,3,0,8,27,1,12,4,75000,18750,4,136575,34144,0,479,,
1200,,129739,24,5,0,6,30,0,3,0,0,0,6,180000,30000,1,1977,,
1201,,54368,44,8,0,2,13,1,2,0,0,0,2,54788,27394,2,133355,,
1202,,20000,32,4,0,1,12,0,2,0,0,0,1,20000,20000,2,7635,,
1203,,252565,38,3,0,3,34,1,3,2,171000,85500,1,90000,90000,2,4082,,
1204,,215755,23,3,0,5,112,3,13,1,25000,25000,4,215415,53854,0,2233,,
1205,,262716,24,12,0,6,80,3,13,1,8000,8000,5,266766,53353,1,10255,,
1206,,122667,34,6,0,6,57,0,13,0,0,0,6,130000,21667,2,2744,,
1207,,86978,33,11,0,5,42,0,2,1,10000,10000,4,85000,21250,1,6017,,
1208,,38001,27,0,0,3,50,0,11,0,0,0,3,45000,15000,0,1106,,
1209,,28993,43,1,0,2,14,3,4,0,0,0,2,30000,15000,1,1298,,
1210,,27061,21,0,0,3,12,0,10,0,0,0,3,30000,10000,0,463,,
1211,,238677,31,8,0,6,26,0,13,0,0,0,6,250000,41667,0,4594,,
1212,,122412,26,4,0,7,50,5,24,1,20000,20000,6,140000,23333,3,3934,,
1213,,114108,32,2,0,9,66,0,12,5,38000,7600,4,124710,31178,0,1769,,
1214,,260095,46,22,0,7,115,0,23,1,10000,10000,6,278188,46365,1,27924,,
1215,,387714,42,1,0,6,99,0,9,2,126000,63000,4,364000,91000,0,15351,,
1216,,0,34,7,0,2,14,0,0,0,0,0,2,162000,81000,0,17516,,
1217,,40227,25,0,0,3,14,1,7,0,0,0,3,40000,13333,0,357,,
1218,,30273,20,0,0,1,5,0,4,0,0,0,1,30000,30000,0,0,,
1219,,253219,20,0,0,4,46,0,8,0,0,0,4,214198,53550,0,2092,,
1220,,340068,31,5,0,6,113,0,9,3,76000,25333,3,315000,105000,1,31466,,
1221,,137967,25,16,0,7,77,1,5,0,0,0,7,180000,25714,2,1795,,
1222,,355428,32,0,0,10,141,2,3,6,260100,43350,4,309000,77250,0,5161,,
1223,,0,29,0,0,1,1,0,0,0,0,0,1,40000,40000,0,0,,
1224,,6248,41,10,0,12,84,0,3,24,697684,29070,0,0,0,0,1944,,
1225,,419344,33,5,0,6,133,0,11,1,20000,20000,5,527500,105500,0,2884,,
1226,,204787,52,10,0,5,112,0,10,1,15000,15000,4,300000,75000,1,30093,,
1227,,6449,29,13,0,1,25,2,6,0,0,0,1,10000,10000,3,35696,,
1228,,57224,21,0,0,5,22,1,3,3,20000,6667,2,40000,20000,2,3528,,
1229,,19631,22,0,0,1,12,0,1,0,0,0,1,30000,30000,0,3200,,
1230,,111948,27,6,0,4,61,0,5,0,0,0,4,118000,29500,1,1914,,
1231,,151240,23,0,0,5,51,0,8,0,0,0,5,155000,31000,0,620,,
1232,,133887,21,8,0,2,66,0,2,0,0,0,2,130000,65000,0,3673,,
1233,,354473,32,7,0,4,84,1,10,1,16000,16000,3,315000,105000,0,21304,,
1234,,40156,19,0,0,1,5,0,5,0,0,0,1,40000,40000,0,0,,
1235,,146638,25,8,0,5,58,0,8,0,0,0,5,215338,43068,0,3618,,
1236,,21605,30,4,0,2,32,0,11,0,0,0,2,26000,13000,0,3924,,
1237,,339568,51,4,0,5,78,5,15,1,60000,60000,4,550000,137500,0,2074,,
1238,,217669,29,6,0,3,145,0,0,1,65000,65000,2,175000,87500,1,6843,,
1239,,61587,20,0,0,3,33,1,8,0,0,0,3,65000,21667,0,1302,,
1240,,99563,31,11,0,3,78,1,13,0,0,0,3,129980,43327,1,13790,,
1241,,79435,22,11,0,7,76,4,7,4,73000,18250,3,80008,26669,1,15382,,
1242,,80523,24,1,0,4,40,1,15,0,0,0,4,90000,22500,0,2173,,
1243,,51600,20,0,0,2,9,1,2,0,0,0,2,50000,25000,0,1580,,
1244,,204197,29,5,0,8,45,2,4,2,50000,25000,6,165000,27500,3,1246,,
1245,,139128,24,4,0,6,87,1,5,5,51000,10200,1,85000,85000,0,10790,,
1246,,269104,43,24,0,9,94,1,12,4,63000,15750,5,235000,47000,1,21602,,
1247,,136947,28,1,0,7,54,1,17,1,23000,23000,6,135000,22500,0,1399,,
1248,,49962,29,11,0,3,54,0,11,0,0,0,3,52000,17333,2,13118,,
1249,,54503,21,3,0,2,29,3,17,0,0,0,2,55000,27500,1,20389,,
1250,,124352,24,0,0,3,9,4,3,0,0,0,3,125000,41667,0,1000,,
1251,,234936,63,10,0,9,55,4,15,4,40000,10000,5,205000,41000,2,7756,,
1252,,61095,24,0,0,3,58,0,2,1,75000,75000,2,120000,60000,0,1623,,
1253,,430287,60,18,0,7,92,0,5,3,101000,33667,4,440000,110000,1,11357,,
1254,,225431,26,5,0,4,34,0,5,2,20000,10000,2,150000,75000,2,4227,,
1255,,253241,25,17,0,11,30,0,5,4,38000,9500,7,176000,25143,0,11861,,
1256,,156445,32,1,0,7,118,0,8,2,10000,5000,5,165900,33180,0,2999,,
1257,,158337,30,3,0,2,93,0,5,1,33000,33000,1,178000,178000,0,10718,,
1258,,106577,22,0,0,7,56,0,12,3,63000,21000,4,45799,11450,0,534,,
1259,,307469,27,4,0,5,139,0,9,2,132000,66000,3,248626,82875,0,9404,,
1260,,179410,28,5,0,4,75,1,10,0,0,0,4,170000,42500,0,31456,,
1261,,432227,36,18,0,7,101,3,36,2,20000,10000,11,1278000,116182,8,25284,,
1262,,509473,29,13,0,7,112,0,6,4,212000,53000,3,226000,75333,0,3384,,
1263,,744,40,6,0,1,35,0,4,1,15000,15000,0,0,0,1,2705,,
1264,,0,25,2,0,1,7,1,0,1,30000,30000,0,0,0,0,9416,,
1265,,493043,40,10,0,6,11,0,4,0,0,0,6,663482,110580,1,118960,,
1266,,20538,31,6,0,3,38,0,7,0,0,0,3,25000,8333,2,657,,
1267,,184449,27,0,0,5,23,4,7,8,156000,19500,2,260000,130000,0,7141,,
1268,,373946,25,6,0,13,96,0,10,4,101000,25250,9,305000,33889,0,3993,,
1269,,130465,24,2,0,3,65,1,2,1,36000,36000,2,130000,65000,0,3947,,
1270,,295909,26,5,0,5,78,0,39,2,164000,82000,15,538052,35870,0,23251,,
1271,,0,59,2,0,2,10,1,2,5,76000,15200,1,30000,30000,0,494,,
1272,,326540,34,14,0,3,60,0,7,1,20000,20000,2,225000,112500,0,30134,,
1273,,215246,32,2,0,3,57,0,7,4,306000,76500,4,244899,61225,0,2412,,
1274,,198351,26,4,0,12,111,1,12,5,178000,35600,7,140000,20000,0,1992,,
1275,,307621,34,7,0,5,49,0,1,0,0,0,5,682500,136500,0,54091,,
1276,,57247,19,0,0,5,24,0,16,0,0,0,5,51000,10200,0,442,,
1277,,-3,26,2,0,0,4,0,1,0,0,0,0,0,0,2,4250,,
1278,,1412277,36,14,0,13,125,2,9,9,493000,54778,4,698000,174500,0,45772,,
1279,,249892,36,3,0,8,69,0,9,6,235000,39167,2,50000,25000,0,2958,,
1280,,254174,29,31,0,7,82,2,23,0,0,0,7,265000,37857,1,18262,,
1281,,15325,23,2,0,5,26,0,16,0,0,0,5,30000,6000,3,776,,
1282,,66287,25,12,0,3,34,1,2,1,5000,5000,2,70000,35000,1,6556,,
1283,,110674,40,4,0,5,69,3,13,0,0,0,5,115000,23000,1,4049,,
1284,,57920,22,2,0,5,64,0,10,0,0,0,5,63000,12600,0,4188,,
1285,,243973,41,20,0,11,130,3,9,5,21000,4200,6,278000,46333,2,1605,,
1286,,1199077,28,25,0,15,159,0,106,7,468000,66857,25,1743000,69720,6,25551,,
1287,,137287,25,10,0,4,74,0,10,1,10000,10000,3,128000,42667,0,4050,,
1288,,235365,48,1,0,5,52,0,17,2,175000,87500,3,55000,18333,0,330,,
1289,,706154,34,5,0,7,132,0,17,2,307000,153500,5,414265,82853,0,4182,,
1290,,96138,24,0,0,1,41,0,4,0,0,0,1,100000,100000,0,6000,,
1291,,4095153,62,29,0,13,128,0,18,3,125131,41710,10,3442646,344265,2,19240,,
1292,,738352,30,17,0,9,65,4,13,4,28000,7000,5,503000,100600,3,20678,,
1293,,54779,23,0,0,1,10,1,1,1,55000,55000,0,0,0,0,2022,,
1294,,3950,21,1,0,1,19,0,2,0,0,0,1,10000,10000,1,1682,,
1295,,156259,44,9,0,3,37,0,3,1,26000,26000,2,165000,82500,0,17182,,
1296,,83078,28,5,0,3,68,1,5,3,197000,65667,0,0,0,0,8575,,
1297,,191734,22,0,0,3,63,3,2,1,10000,10000,2,180000,90000,0,2678,,
1298,,391519,31,5,0,4,7,0,4,3,60000,20000,1,170000,170000,0,28571,,
1299,,398485,34,8,0,9,70,2,15,3,91000,30333,6,270000,45000,1,25630,,
1300,,910710,45,11,0,8,64,0,25,1,45000,45000,7,720000,102857,0,59123,,
1301,,25524,27,3,0,1,11,2,3,0,0,0,1,20000,20000,2,15750,,
1302,,110000,29,5,0,2,68,10,3,0,0,0,2,153969,76985,1,21387,,
1303,,76202,47,3,0,4,37,2,5,1,25000,25000,3,81000,27000,3,3833,,
1304,,125571,27,0,0,2,46,0,1,1,50000,50000,1,100000,100000,0,2805,,
1305,,365638,26,0,0,13,84,3,4,11,111876,10171,2,210000,105000,0,6268,,
1306,,664242,45,18,0,6,92,0,13,1,40000,40000,5,637000,127400,0,50269,,
1307,,192031,22,3,0,4,70,1,5,1,20000,20000,3,204720,68240,1,13659,,
1308,,127050,23,0,0,6,39,9,30,6,60000,10000,13,318000,24462,0,827,,
1309,,307390,29,6,0,5,82,2,7,2,23000,11500,3,358000,119333,1,22064,,
1310,,488283,31,4,0,3,95,0,7,1,116000,116000,2,300000,150000,1,34664,,
1311,,20060,19,0,0,2,18,0,6,0,0,0,2,20000,10000,0,1080,,
1312,,296631,24,21,0,7,83,0,13,0,0,0,7,294947,42135,2,4717,,
1313,,151843,53,4,0,4,114,0,6,1,15000,15000,3,160000,53333,1,4947,,
1314,,176061,33,0,0,4,24,0,0,4,175000,43750,0,0,0,0,1125,,
1315,,46072,22,0,0,12,79,2,1,11,57998,5273,1,40000,40000,0,1130,,
1316,,225852,34,4,0,9,77,2,2,5,120001,24000,4,124948,31237,0,3068,,
1317,,192916,48,0,0,6,28,0,0,0,0,0,6,522001,87000,0,1134,,
