,grade,负债水平,年龄,closed_accounts,past_due_accounts,open_accounts,enquiry_alert,一年内信用卡查询次数,一年内贷款查询次数,在用信用卡数,信用卡总额度,信用卡平均额度,当前贷款笔数,贷款总额度,贷款平均额度,近一年逾期30天以上次数,平均每月还款额,学历,就业状况
805,,225482,29,9,0,3,26,0,14,0,0,0,3,163336,54445,3,5268,,
806,,181557,44,13,0,6,91,2,23,0,0,0,6,242400,40400,0,7074,,
807,,52569,29,2,0,3,14,3,11,2,15000,7500,1,30000,30000,1,3800,,
808,,9623,18,0,0,1,10,7,0,1,10000,10000,0,0,0,0,9994,,
809,,22844,28,2,0,4,12,1,3,1,5000,5000,3,33000,11000,0,528,,
810,,103222,31,3,0,2,28,2,4,0,0,0,2,115000,57500,1,10209,,
811,,16124,42,2,0,2,8,0,1,1,55000,55000,1,100000,100000,0,44621,,
812,,319980,21,1,0,3,51,1,2,1,18000,18000,2,210000,105000,0,29812,,
813,,184194,25,8,0,6,91,1,24,0,0,0,6,213000,35500,0,11572,,
814,,244549,29,8,0,8,82,0,1,3,83000,27667,5,145552,29110,0,1479,,
815,,123530,31,2,0,2,25,1,0,1,93000,93000,1,190000,190000,0,2707,,
816,,246,23,1,0,1,25,1,2,0,0,0,1,20000,20000,2,2590,,
817,,357079,29,3,0,3,40,0,5,2,420000,210000,4,238000,59500,0,4536,,
818,,106239,27,7,0,7,96,5,7,0,0,0,7,337000,48143,1,1599,,
819,,516258,25,4,0,4,57,0,11,1,20000,20000,3,412000,137333,0,27620,,
820,,511508,35,20,0,6,44,0,14,1,30000,30000,5,330000,66000,5,46694,,
821,,218743,36,13,0,5,53,0,3,0,0,0,5,295000,59000,0,7247,,
822,,19398,20,0,0,2,9,3,6,2,20000,10000,0,0,0,0,1500,,
823,,107502,46,5,0,2,39,2,11,0,0,0,2,105000,52500,1,6182,,
824,,10666,21,0,0,2,56,0,1,2,20000,10000,0,0,0,0,2250,,
825,,84070,21,2,0,6,44,10,28,0,0,0,6,83000,13833,0,3236,,
826,,10504,19,0,0,6,27,1,1,6,26000,4333,0,0,0,0,103,,
827,,10642,41,0,0,1,5,4,0,1,10000,10000,0,0,0,0,8000,,
828,,105612,47,0,0,3,14,0,4,0,0,0,3,100500,33500,0,933,,
829,,48373,23,0,0,3,27,1,2,3,50000,16667,0,0,0,0,854,,
830,,213561,23,2,0,5,66,1,8,2,48000,24000,3,162250,54083,0,686,,
831,,275886,32,13,0,6,79,0,3,3,194000,64667,3,87000,29000,0,1422,,
832,,303272,29,8,0,3,60,0,2,1,40000,40000,2,230000,115000,0,1650,,
833,,137488,29,9,0,4,51,0,11,0,0,0,4,150000,37500,0,11486,,
834,,79355,31,1,0,2,5,1,4,0,0,0,2,85000,42500,0,3110,,
835,,143260,29,20,0,8,51,0,7,0,0,0,8,291054,36382,0,44953,,
836,,351087,28,28,0,7,63,0,20,0,0,0,7,316815,45259,1,4082,,
837,,9898,25,2,0,1,16,1,8,1,10000,10000,0,0,0,1,8111,,
838,,659245,29,8,0,6,138,2,0,4,234000,58500,2,592000,296000,0,36199,,
839,,206727,32,7,0,5,67,1,7,0,0,0,5,249996,49999,1,6680,,
840,,117899,25,10,0,7,79,0,12,1,20000,20000,6,115000,19167,2,5653,,
841,,68671,23,4,0,3,42,1,6,0,0,0,3,90000,30000,2,7941,,
842,,86098,27,2,0,2,11,0,10,0,0,0,2,70000,35000,0,2624,,
843,,18032,23,5,0,1,34,2,3,0,0,0,1,20000,20000,4,6498,,
844,,26254,22,0,0,2,6,0,3,0,0,0,2,30000,15000,0,1363,,
845,,10169,28,0,0,1,2,0,2,0,0,0,1,10000,10000,0,0,,
846,,207719,33,10,0,4,69,0,5,1,41000,41000,3,150000,50000,2,2468,,
847,,124334,32,0,0,4,31,0,12,0,0,0,4,125000,31250,0,1565,,
848,,440790,27,4,0,14,108,3,16,8,170684,21336,6,273000,45500,0,4071,,
849,,49656,18,0,0,3,23,7,8,2,29000,14500,1,20000,20000,0,5093,,
850,,39511,26,16,0,1,57,1,6,0,0,0,1,40000,40000,5,25408,,
851,,175871,24,8,0,3,99,0,9,1,55000,55000,2,169999,85000,0,20879,,
852,,239975,25,9,0,11,113,0,8,5,115878,23176,6,196996,32833,1,5782,,
853,,157448,30,7,0,5,34,1,8,2,15000,7500,3,110000,36667,1,2988,,
854,,513323,25,1,0,6,63,0,18,1,237000,237000,5,290000,58000,0,17695,,
855,,325716,30,6,0,3,38,2,2,1,36000,36000,2,290000,145000,0,82218,,
856,,153846,21,4,0,6,38,2,6,2,20000,10000,4,132000,33000,1,938,,
857,,17334,20,0,0,2,47,1,0,2,20000,10000,0,0,0,0,1500,,
858,,54224,54,1,0,3,17,0,10,0,0,0,3,65000,21667,0,5725,,
859,,238511,26,8,0,6,108,0,5,2,29000,14500,4,214727,53682,1,9177,,
860,,1394943,37,10,0,5,36,0,13,0,0,0,5,955000,191000,0,64889,,
861,,630442,49,10,0,11,112,2,20,4,35000,8750,7,520000,74286,1,15170,,
862,,138673,27,0,0,1,48,1,0,1,171000,171000,0,0,0,0,6000,,
863,,121840,22,4,0,2,45,0,9,0,0,0,2,105000,52500,0,13245,,
864,,319598,29,11,0,2,71,1,12,0,0,0,2,230000,115000,0,1761,,
865,,143305,21,3,0,3,71,0,4,1,10000,10000,2,131000,65500,0,13424,,
866,,181266,26,4,0,2,61,0,1,0,0,0,2,225536,112768,3,20301,,
867,,138131,29,25,0,8,49,5,9,3,15000,5000,5,200000,40000,0,11873,,
868,,161018,31,0,0,5,68,4,9,3,103000,34333,2,78000,39000,0,1198,,
869,,116356,28,2,0,3,53,2,6,1,27900,27900,2,150000,75000,0,6800,,
870,,381966,28,13,0,11,84,0,11,4,46000,11500,7,371500,53071,1,4149,,
871,,370176,41,7,0,4,103,0,4,1,30000,30000,3,377200,125733,0,46736,,
872,,303811,26,7,0,7,72,0,5,2,65000,32500,5,278000,55600,0,5956,,
873,,255994,38,29,0,6,54,0,18,0,0,0,6,195000,32500,0,6987,,
874,,145983,30,16,0,5,94,0,2,3,105000,35000,2,188000,94000,2,5854,,
875,,397641,36,7,0,11,73,0,7,6,262000,43667,5,372000,74400,0,5021,,
876,,66891,25,6,0,3,54,0,2,2,36000,18000,4,349961,87490,0,7286,,
877,,370576,28,3,0,8,79,2,3,3,105000,35000,5,680825,136165,0,11680,,
878,,151356,29,9,0,4,65,0,4,1,25000,25000,3,123000,41000,0,1084,,
879,,199832,37,6,0,2,23,0,5,0,0,0,2,165000,82500,0,21689,,
880,,5000,22,1,0,1,8,1,2,1,10000,10000,0,0,0,0,7779,,
881,,210060,37,4,0,5,60,0,2,2,20000,10000,3,180000,60000,0,62181,,
882,,282817,43,18,0,6,46,0,24,0,0,0,6,282128,47021,1,12198,,
883,,265143,21,21,0,7,119,3,18,2,65000,32500,5,210000,42000,0,7333,,
884,,156468,24,3,0,2,21,0,4,0,0,0,2,110000,55000,0,13622,,
885,,411212,36,5,0,3,115,3,7,1,36000,36000,2,231000,115500,1,28767,,
886,,468259,34,6,0,6,85,1,6,1,30000,30000,5,540000,108000,0,46820,,
887,,54472,27,3,0,5,34,0,19,0,0,0,5,60000,12000,1,3420,,
888,,658744,55,43,0,16,174,1,43,2,30000,15000,14,878842,62774,2,14164,,
889,,19855,20,0,0,2,17,2,1,1,21000,21000,1,20000,20000,0,1670,,
890,,219058,35,4,0,8,67,0,6,6,157000,26167,2,60000,30000,0,1069,,
891,,171414,49,9,0,2,35,0,3,0,0,0,2,200000,100000,2,17675,,
892,,177487,29,4,0,4,43,0,6,0,0,0,4,190000,47500,0,15410,,
893,,290722,34,13,0,6,95,2,6,3,94000,31333,3,232646,77549,3,13839,,
