是否逾期,申请时段,grade,closed_accounts,open_accounts,enquiry_alert,人脸相似度,电话使用时长,年龄,分区,信用卡额度使用率,信用卡数,信用卡平均额度,贷款数,贷款平均额度,平均分期金额,平均期数,90天内贷款查询次数,180天内贷款查询次数,120天内信用卡查询次数,365天内信用卡查询次数,历史近两年逾期最大天数,ULC33S,近三个月逾期天数,G207O,dsr_before,身份证号首字母,历史申请贷款查询数,开户成功率,total_monthly_obligation
否,22点,HH,6,5,20,0.69,三个月内,36,元朗,0.41,1,40000,1,60000,2958,36,2,3,0,0,0,77787,115,3445,46,V,13,0.62,3790
否,22点,HH,6,5,77,0.4,Missing,29,深水埗,0,0,0,5,62000,2219,46,3,10,0,2,0,279204,0,11096,69,Y,18,0.39,11441
是,0点,II,9,3,57,0.58,一年到两年,21,北区,0.26,2,7500,1,10000,493,60,3,15,0,0,20,13949,20,612,3,R,36,0.33,0
否,8点,II,22,6,61,0.58,三个月内,30,屯门,0.26,3,13333,3,11667,1424,26,8,8,0,0,5,35107,4,4587,31,Z,36,0.69,4771
否,8点,II,21,5,84,0.39,两年以上,24,深水埗,1.02,2,12500,3,65667,4283,24,4,15,0,1,0,274000,0,13610,61,R,28,0.64,13794
否,18点,II,10,6,58,0.66,两年以上,36,黄大仙,0.92,4,24150,2,73615,2473,42,10,14,0,0,0,214144,0,7614,50,Z,15,0.67,7798
否,12点,II,0,7,33,0.5,两年以上,25,观塘,1.01,4,22500,3,16667,1221,20,6,6,0,0,0,146636,0,6384,102,Y,6,0.67,6568
否,13点,HH,22,6,45,0.39,Missing,40,东区,1,2,30000,4,18750,1478,17,4,5,0,0,0,141931,0,7712,41,K,12,2.25,8057
否,14点,EE,2,1,63,0.34,Missing,39,大埔,0,0,0,1,25000,2671,12,2,5,5,6,0,10684,0,2671,23,K,13,0.23,3107
否,14点,II,24,4,16,0.41,Missing,34,深水埗,0.99,1,37000,2,100000,6213,24,2,2,0,0,1,384584,64,17504,47,Z,14,1.79,17689
否,21点,II,5,7,127,0.31,两年以上,34,深水埗,1,5,99200,2,225000,5562,48,0,0,0,0,1,591081,1,26029,73,Z,2,0,26213
否,11点,II,8,10,125,0.53,Missing,27,沙田,0.33,5,43600,5,52000,2493,38,7,14,1,3,10,335135,0,14626,70,Y,45,0.33,14810
