是否逾期,申请时段,grade,closed_accounts,open_accounts,enquiry_alert,人脸相似度,电话使用时长,年龄,分区,信用卡额度使用率,信用卡数,信用卡平均额度,贷款数,贷款平均额度,平均分期金额,平均期数,90天内贷款查询次数,180天内贷款查询次数,120天内信用卡查询次数,365天内信用卡查询次数,历史近两年逾期最大天数,ULC33S,近三个月逾期天数,G207O,dsr_before,身份证号首字母,历史申请贷款查询数,开户成功率,total_monthly_obligation
否,22点,HH,0,2,16,0.04,一年到两年,21,葵青,0.97,2,58978,0,0,0,0,3,3,0,0,0,113989,0,3420,26,Y,1,1,0
否,8点,GG,2,1,16,0.66,Missing,28,九龙城,1.01,1,100000,0,0,0,0,0,0,0,0,7,101305,0,3039,23,Y,5,0.6,3384
否,12点,GG,0,2,25,0.51,两年以上,29,沙田,1,1,27000,1,170000,3479,60,0,0,0,1,2,183517,1,4287,17,V,0,0,4632
否,14点,II,9,2,16,0.56,三个月内,29,北区,1.06,1,10000,1,50000,3279,24,1,4,0,0,2,76345,2,3598,14,Y,13,0.77,3783
否,18点,HH,8,13,91,0.34,Missing,27,观塘,0.34,6,11333,5,60658,2648,29,7,16,0,4,28,333004,0,13928,70,Y,22,0.5,13202
否,10点,II,9,10,69,0.44,一年到两年,35,屯门,0.98,3,22000,7,28571,1769,27,5,10,1,1,6,262139,0,14318,58,Z,23,0.7,14503
否,11点,II,8,7,52,0.72,一年到两年,20,东区,0.85,3,19255,4,15500,1027,26,6,7,0,0,8,112362,0,5577,59,Y,34,0.38,5762
否,13点,II,3,5,45,0.48,两年以上,21,沙田,0.8,3,25000,2,32500,1783,39,1,3,0,10,1,118950,1,5360,45,Y,13,0.62,0
否,12点,FF,0,4,25,0.45,两年以上,27,葵青,1.04,3,40667,0,0,0,0,0,0,0,0,0,127354,0,3821,22,R,1,0,4205
否,17点,EE,1,0,4,0.39,半年到一年,24,屯门,0.74,2,34000,2,32500,2069,24,2,2,0,1,0,141355,0,6578,0,R,2,0,436
否,23点,II,7,4,63,0.36,两年以上,30,油尖旺,0.24,2,85000,2,139026,5740,36,2,4,0,0,15,318956,0,12679,58,Z,11,0.82,12864
是,12点,II,2,4,53,0.49,两年以上,24,西贡,0.93,2,30000,2,25000,1773,18,4,5,0,0,7,98090,7,5216,36,Y,8,0.63,4304
是,13点,FF,1,2,40,0.59,Missing,25,元朗,0,1,20000,1,20000,986,60,1,1,0,0,14,9549,0,986,7,Y,30,0.1,1370
否,18点,GG,1,6,32,0.51,两年以上,36,九龙城,0.99,4,54750,2,44000,1274,48,0,2,0,0,0,294841,0,9042,72,Z,3,1,9387
否,17点,EE,1,2,31,0.58,两年以上,37,观塘,0.03,1,20000,1,72000,2309,36,0,0,0,0,0,81336,0,2324,63,Z,5,0.4,2760
是,18点,II,9,6,49,0.54,两年以上,27,沙田,0.92,3,21667,3,31667,1859,48,3,3,0,0,67,149446,67,7371,41,V,19,0.63,0
否,4点,DD,0,2,29,0.51,一年到两年,22,深水埗,0.87,2,10000,0,0,0,0,1,1,0,0,0,17353,0,521,17,Y,0,0,0
否,20点,II,0,0,7,0.62,三个月内,19,沙田,0.74,2,34000,2,32500,2069,24,5,5,2,2,0,141355,0,6578,0,Y,5,0,184
否,4点,II,0,7,22,0.6,三个月内,20,九龙城,0.88,5,6200,2,17500,1307,35,8,8,1,2,0,63588,0,3433,58,Y,9,0.44,3617
是,7点,II,4,5,76,0.59,两年以上,60,观塘,0.84,3,17000,2,45000,2018,42,1,4,0,0,0,131614,51,5327,49,G,29,0.17,0
否,8点,CC,0,3,38,0.51,两年以上,30,元朗,0.7,3,45333,0,0,0,0,1,1,0,0,0,95063,0,2852,19,Y,0,0,3516
否,17点,II,0,0,3,0.65,三个月内,21,西贡,0.74,2,34000,2,32500,2069,24,2,2,0,0,0,141355,0,6578,0,R,3,0,184
否,8点,GG,7,3,33,0.58,两年以上,31,葵青,0.99,2,23000,1,250000,8092,60,0,0,0,0,0,425718,0,9454,27,Z,6,1.33,9799
否,12点,II,16,7,96,0.58,Missing,30,荃湾,0.94,3,47667,4,19750,1973,13,8,17,0,0,0,230413,0,11914,74,Z,39,0.51,10035
否,22点,II,14,5,54,0.61,Missing,47,沙田,0.73,3,23333,2,65000,4465,21,2,3,0,0,1,244780,0,10467,62,G,13,1.08,10651
否,12点,HH,2,2,27,0.53,两年以上,28,油尖旺,0.01,1,15000,1,10000,1595,7,3,3,0,0,0,11265,0,1598,11,Y,2,1,1943
否,10点,GG,1,3,46,0.51,两年以上,26,西贡,0.82,2,86500,1,100000,4748,36,1,2,0,0,13,213095,13,9012,39,Y,9,0.22,9357
是,12点,II,8,8,98,0.43,两年以上,32,沙田,0.96,4,27250,4,53750,3569,18,7,11,1,2,7,433187,0,17415,97,P,27,0.48,17600
否,13点,BB,3,1,6,0.55,一年到两年,25,屯门,0.74,2,34000,2,32500,2069,24,2,2,2,2,0,0,0,0,0,Y,2,1.5,579
否,16点,II,1,5,28,0.44,半年到一年,22,元朗,0.96,2,20000,3,25000,2610,12,5,13,0,1,2,111180,2,8982,82,Y,18,0.33,9166
是,15点,HH,17,7,84,0.75,两年以上,36,元朗,0.85,3,52333,4,32000,2466,18,1,4,0,0,7,246388,0,13885,69,Z,13,1.77,14230
否,4点,II,3,2,29,0.57,三个月内,24,屯门,0.86,1,70000,1,20000,986,60,0,2,0,0,9,80169,6,2791,20,Y,14,0.36,2975
否,17点,HH,5,8,37,0.33,两年以上,27,观塘,1.05,6,25167,0,0,0,0,0,1,0,0,1,158729,0,4762,38,V,0,0,5107
是,0点,II,1,0,2,0.59,三个月内,29,荃湾,0.74,2,34000,2,32500,2069,24,2,2,0,0,0,141355,0,6578,0,Y,2,0.5,184
否,0点,HH,3,3,47,0.51,一年到两年,22,沙田,0.88,2,43000,1,150000,4916,36,1,2,0,0,0,237631,0,7177,37,Y,2,0.5,7522
否,0点,II,1,5,19,0.5,三个月到半年,23,屯门,0.94,3,28322,2,22500,1538,36,3,7,0,0,0,128897,0,5468,42,Y,11,0.55,5652
否,7点,II,19,8,102,0.5,Missing,38,西贡,0.62,3,14667,5,87079,2850,50,8,13,1,3,30,457526,1,15062,50,V,64,0.33,0
否,12点,HH,0,0,2,0.6,Missing,21,深水埗,0.74,2,34000,2,32500,2069,24,2,2,0,0,0,141355,0,6578,0,R,2,0,345
否,15点,II,5,2,59,0.6,一年到两年,57,屯门,0.7,1,50000,1,40000,2400,24,0,6,1,3,13,59154,0,3455,39,R,22,0.09,3639
是,20点,II,6,3,70,0.45,两年以上,33,北区,0.94,1,20000,2,85500,2836,39,17,17,0,0,36,138605,0,6238,52,Z,11,0.18,0
否,18点,II,28,7,69,0.58,Missing,46,荃湾,0.97,2,120000,5,44000,2869,29,12,17,0,0,0,379720,0,21333,76,K,38,0.89,21517
是,22点,II,19,8,117,0.63,Missing,39,屯门,0.96,5,66000,3,64589,3530,26,5,8,0,1,0,551311,0,20065,84,K,50,0.5,20249
否,12点,II,3,7,76,0.6,两年以上,25,葵青,1.04,4,35000,3,32542,1597,28,4,5,0,1,0,246486,0,9165,71,Y,2,0.5,9349
否,3点,BB,0,4,93,0.48,两年以上,25,屯门,0.45,4,100750,0,0,0,0,0,3,0,0,0,181404,0,5442,36,Y,0,0,6021
否,16点,II,10,2,54,0.53,一年到两年,26,东区,0.94,2,60000,0,0,0,0,0,0,4,6,0,113288,34,3399,23,Y,13,0.38,3583
是,17点,II,18,6,91,0.54,一年到两年,38,沙田,0.99,1,10000,5,42000,3166,25,5,13,0,0,0,206893,0,16130,54,Z,45,0.51,16314
否,20点,II,0,4,23,0.41,两年以上,25,屯门,0,0,0,4,92800,3309,36,1,4,0,0,29,135723,29,13234,38,Y,4,0.5,13418
否,23点,DD,2,4,57,0.54,两年以上,35,元朗,1.14,3,139333,0,0,0,0,1,1,0,0,0,476430,0,14293,37,P,0,0,14817
是,1点,II,3,4,30,0.54,三个月到半年,21,北区,0.25,2,33000,2,20000,1718,15,5,5,0,0,9,70915,0,3932,22,R,22,0.32,4116
是,7点,II,31,10,67,0.57,两年以上,42,屯门,0.61,3,25000,7,54540,2906,36,10,20,0,0,0,426633,0,21713,106,K,55,0.53,20581
是,7点,II,6,5,43,0.18,两年以上,24,沙田,0.88,2,17500,3,17667,1309,28,6,14,1,1,14,87229,10,4855,32,Y,21,0.38,5040
是,9点,II,3,5,31,0.53,三个月内,22,屯门,0.99,2,82500,3,20333,1200,46,3,7,1,1,4,218704,4,8492,57,Y,11,0.45,0
否,19点,HH,4,4,18,0.5,两年以上,21,九龙城,0.49,3,6667,1,80000,3607,36,1,1,0,0,41,67414,0,3898,38,Y,7,0.86,4243
否,11点,II,7,7,62,0.58,两年以上,26,屯门,0.96,4,57500,3,36000,1970,38,6,8,0,0,0,329769,0,12515,78,Y,20,0.55,12699
是,13点,II,3,12,95,0.69,两年以上,47,离岛,1.01,5,80000,4,11250,1039,24,2,7,0,0,0,441807,0,16237,54,C,18,0.44,16422
否,18点,EE,0,5,16,0.56,三个月内,23,西贡,0.61,4,17200,0,0,0,0,2,2,1,5,0,41911,0,1257,7,Y,2,0.5,1693
否,21点,II,0,5,94,0.5,两年以上,23,黄大仙,0.98,5,35400,0,0,0,0,1,1,0,0,5,173179,1,5195,43,Y,3,0.33,5380
否,23点,II,14,9,104,0.53,两年以上,33,大埔,0.95,3,86000,5,36000,2283,28,1,5,0,0,0,416012,0,18738,56,Z,23,0.7,18922
否,12点,II,9,11,57,0.51,两年以上,30,东区,0.99,4,44750,7,52286,1845,33,2,4,0,0,5,446193,1,18224,99,Z,13,1,18408
否,13点,II,2,7,77,0.49,一年到两年,26,离岛,0.94,4,25000,3,28333,2457,15,4,5,0,0,31,154548,9,10206,85,Y,18,0.39,10390
否,11点,II,4,1,57,0.39,Missing,27,元朗,0,0,0,1,30000,820,48,0,0,0,4,0,27060,0,820,38,R,4,0.25,1004
否,1点,II,9,5,76,0.4,Missing,28,南区,0.61,4,12500,1,175000,5940,48,1,7,0,3,0,279885,30,6852,53,Y,20,0.35,0
是,15点,II,1,3,28,0.51,一年到两年,20,油尖旺,1,2,50000,1,30000,1478,60,1,7,0,3,0,129716,0,4470,64,Y,10,0.3,4654
否,16点,GG,3,4,79,0.53,两年以上,38,屯门,1,3,46333,1,180000,5550,48,1,2,0,0,0,221894,0,9709,73,Z,2,1.5,10054
否,15点,II,3,5,45,0.6,一年到两年,21,大埔,1,2,10000,3,11667,1148,28,7,11,1,2,9,59863,0,4041,25,Y,28,0.29,0
否,21点,II,9,2,10,0.51,两年以上,42,黄大仙,1.06,1,20000,1,100000,7164,20,2,2,0,0,34,164434,30,7799,41,K,10,1.1,7983
否,2点,EE,1,3,36,0.72,两年以上,31,元朗,0.51,1,48000,1,301600,7881,48,0,1,0,0,0,302470,0,8617,30,Z,0,0,9053
否,12点,II,12,11,103,0.4,两年以上,40,屯门,0.98,6,40661,5,59270,2341,36,10,15,0,0,0,526822,0,18913,63,K,31,0.42,19097
否,16点,II,0,1,6,0.58,三个月到半年,37,观塘,1.02,1,10000,0,0,0,0,1,3,0,0,0,10160,0,305,68,Z,2,0.5,490
否,1点,HH,5,7,61,0.62,两年以上,22,荃湾,0.76,3,14999,2,15000,958,18,1,3,0,0,0,62804,0,2945,20,Y,16,0.38,0
否,3点,GG,0,2,20,0.5,半年到一年,20,沙田,0.92,2,65494,0,0,0,0,0,0,0,2,0,119855,0,3596,20,Y,1,1,3941
否,18点,II,0,2,32,0.25,半年到一年,19,离岛,1.07,2,9000,0,0,0,0,5,10,0,1,1,19331,1,580,19,Y,6,0,764
否,8点,II,21,7,178,0.44,Missing,32,油尖旺,0.08,3,21667,3,60667,3304,24,8,28,0,0,4,297384,2,10064,67,M,97,0.26,10248
否,10点,II,3,12,94,0.58,一年到两年,21,荃湾,0.88,6,21833,4,24250,1512,27,4,20,0,1,1,201753,1,9511,50,Y,37,0.24,9696
是,11点,II,2,3,14,0.56,三个月到半年,27,北区,0.99,1,70000,2,35000,3649,12,4,6,0,0,2,151499,0,9371,37,V,7,0.71,9555
否,12点,II,10,6,118,0.5,Missing,27,观塘,0.98,2,28961,4,36000,1817,30,7,12,0,0,106,155770,1,8975,54,R,36,0.25,9160
否,0点,HH,2,3,29,0.56,半年到一年,20,沙田,1,2,14500,1,20000,2137,12,0,1,0,2,0,50278,0,3004,21,Y,2,1,3349
否,2点,HH,0,2,41,0.65,两年以上,22,大埔,0.98,2,68500,0,0,0,0,0,0,0,0,0,134160,0,4025,25,Y,4,0.25,0
否,16点,II,1,4,40,0.52,一年到两年,20,荃湾,1,3,25667,1,30000,1478,60,2,9,0,0,1,101327,1,3784,19,Y,7,0.29,3968
否,17点,GG,18,2,108,0.59,Missing,25,屯门,0.52,2,21000,0,0,0,0,4,10,0,4,0,21999,10,660,4,V,25,0.44,1005
否,15点,II,1,3,33,0.63,一年到两年,23,西贡,1.01,2,30000,1,10000,1013,12,3,3,2,3,0,66902,0,2838,18,Y,16,0.25,3022
否,21点,II,2,3,33,0.52,半年到一年,24,大埔,0,0,0,3,21667,2247,12,2,2,0,1,2,61491,0,6742,31,Y,8,0.63,0
是,2点,II,22,8,61,0.51,Missing,32,屯门,0.87,3,21327,5,49600,2798,34,7,11,0,0,8,370841,7,15655,82,Z,21,1.29,0
否,7点,II,18,10,128,0.61,Missing,41,葵青,0.74,3,63333,6,184310,5723,38,7,15,0,0,1,1125209,1,38583,84,K,31,0.77,38767
否,8点,CC,2,6,61,0.51,Missing,26,荃湾,0.48,3,99667,0,0,0,0,0,0,3,3,0,142803,1,4284,19,V,0,0,4858
否,8点,II,4,2,11,0.52,半年到一年,48,元朗,0.89,1,20000,1,40000,2067,24,3,3,0,3,0,56536,0,2602,9,R,3,0.67,2786
否,11点,II,23,8,66,0.63,两年以上,41,元朗,0.8,4,21250,4,109500,3905,38,5,11,1,1,0,680289,0,17671,86,K,29,0.79,17855
否,12点,GG,3,2,27,0.54,两年以上,26,元朗,0.99,1,10000,1,40000,3163,18,0,0,1,2,0,22552,0,3460,23,R,5,0.8,0
否,13点,II,6,3,31,0.65,Missing,27,北区,1,2,52500,1,5000,533,12,5,5,0,0,11,111250,0,3679,15,Y,19,0.47,0
否,13点,GG,0,1,25,0.5,两年以上,32,北区,1.01,1,100000,0,0,0,0,0,0,0,0,0,100779,0,3023,67,Z,1,1,3368
否,13点,II,2,2,40,0.48,Missing,21,北区,1.01,1,120000,1,70000,6533,12,1,1,0,0,9,160174,9,10161,47,Y,2,1.5,10345
否,20点,HH,8,8,90,0.54,两年以上,25,观塘,0.81,6,25333,2,35000,2766,18,1,3,0,0,0,189975,0,9239,91,Y,18,0.61,9584
否,15点,II,5,10,38,0.6,三个月到半年,29,西贡,0.84,7,17143,3,27000,2117,30,7,12,4,4,0,192937,0,9380,59,V,17,0.59,0
否,17点,II,4,3,37,0,两年以上,28,九龙城,1.07,1,42000,2,80000,4467,24,6,7,0,0,6,271085,6,10288,64,Y,9,0.67,10473
否,19点,II,2,6,60,0.67,两年以上,23,葵青,0.08,3,58333,3,133367,3920,46,9,11,1,2,10,377487,0,12189,61,Y,8,0.75,12373
否,20点,II,5,4,34,0.6,一年到两年,35,观塘,0,1,90000,3,64000,5178,16,3,6,0,0,0,200108,0,15535,35,Z,13,0.69,15719
否,21点,II,11,7,74,0.59,Missing,47,观塘,0.96,4,55000,2,108500,5019,42,2,5,0,0,0,410115,0,16382,91,G,13,1,16567
否,2点,II,10,10,104,0.34,两年以上,28,葵青,0.56,5,30200,5,41000,2728,20,3,7,0,0,0,262237,0,16175,81,Y,29,0.59,14165
否,12点,HH,10,6,75,0.53,三个月内,27,黄大仙,0.72,3,24847,3,25000,1602,32,6,8,1,7,14,129059,17,6421,77,R,15,0.87,6766
否,14点,II,9,5,113,0.53,两年以上,30,北区,0,1,20000,4,49188,1293,54,1,3,3,3,0,190844,30,5173,30,Z,23,0.09,5357
否,20点,HH,12,4,73,0.59,两年以上,36,沙田,0,0,0,3,136295,4520,37,2,7,0,0,5,169357,0,13559,62,Z,20,0.7,0
否,20点,II,8,5,77,0.33,两年以上,26,荃湾,0.92,3,33000,2,20000,1299,39,1,2,0,0,0,124334,0,5340,54,Y,10,0.5,0
否,21点,II,0,4,53,0.57,两年以上,27,沙田,1,1,169000,2,40000,2493,18,5,5,0,1,0,205573,0,10038,58,V,16,0.19,0
否,3点,II,7,6,96,0.57,三个月内,27,屯门,0.62,3,32000,3,63333,4065,18,6,9,0,0,6,288313,1,13991,81,Y,31,0.39,14175
否,9点,II,8,4,12,0.43,两年以上,39,北区,0.65,2,15000,2,28500,3005,12,5,7,0,0,0,85500,0,6595,24,P,10,1.1,6779
否,11点,HH,9,3,54,0.57,三个月内,30,西贡,0,1,25000,1,20000,1997,12,2,2,1,1,8,23964,0,1997,10,Z,33,0.36,2342
否,22点,II,0,2,21,0.67,半年到一年,25,九龙城,1,1,20000,1,10000,465,24,5,7,0,0,2,28364,2,1064,13,R,2,0.5,0
否,15点,HH,2,2,44,0.51,三个月到半年,20,沙田,0.95,2,17500,0,0,0,0,2,2,0,1,1,33273,0,998,5,Y,10,0.4,1343
否,23点,II,8,7,60,0.46,两年以上,26,黄大仙,0.97,2,102500,5,14000,1322,16,5,12,0,0,34,266655,7,12574,70,Y,32,0.28,12758
否,17点,II,0,2,14,0.51,一年到两年,21,沙田,1,2,46500,0,0,0,0,3,3,4,4,0,93086,0,2793,56,Y,2,0.5,2977
否,18点,II,9,10,61,0.59,Missing,28,南区,0.98,10,17500,0,0,0,0,0,0,4,9,0,172073,0,5162,40,Y,1,4,5347
否,20点,CC,1,1,1,0.38,两年以上,31,黄大仙,0,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,Z,1,2,574
否,12点,II,10,6,66,0.54,两年以上,23,沙田,0.95,2,25000,4,45956,3014,17,10,13,0,2,0,223966,0,13485,54,Y,17,0.59,13670
否,16点,II,17,5,40,0.63,Missing,40,观塘,0,1,15000,4,31823,1891,38,4,7,0,1,1,117359,0,7564,54,K,26,0.85,7748
否,20点,GG,0,3,27,0.05,两年以上,28,沙田,0.81,3,46667,0,0,0,0,1,1,1,1,0,113032,0,3391,24,P,8,0.25,3736
否,21点,HH,0,1,3,0.53,三个月内,42,观塘,0,0,0,1,10000,1908,6,2,2,0,0,0,5724,0,1908,10,R,2,0.5,2253
否,22点,II,0,1,13,0.39,三个月到半年,23,深水埗,1.02,1,10000,0,0,0,0,3,7,0,0,0,10150,0,305,2,Y,7,0.14,489
否,10点,DD,5,4,70,0.51,Missing,33,大埔,0.49,3,132667,1,30000,1610,24,3,3,1,2,23,203927,0,7486,19,Z,2,1,8010
是,17点,II,10,2,61,0.59,三个月内,27,中西区,0,0,0,2,70000,1637,60,1,1,0,1,32,97756,32,3274,20,Y,26,0.27,3458
是,23点,II,12,7,88,0.22,两年以上,36,荃湾,0.99,3,19333,4,58750,3059,30,9,12,0,1,7,350983,7,13952,21,Z,18,0.5,14137
否,0点,II,2,4,41,0,两年以上,21,北区,0.41,3,27333,1,10000,1066,12,0,0,0,0,14,40328,4,2081,9,Y,12,0.5,0
否,2点,EE,0,6,73,0.72,一年到两年,21,葵青,0.97,5,7600,0,0,0,0,0,2,0,3,0,36853,0,1106,12,Y,4,0,1542
是,3点,II,22,5,79,0.53,半年到一年,36,屯门,1.02,2,10000,3,50000,3529,20,8,11,1,1,0,220236,0,11197,55,Z,34,0.5,11382
否,7点,II,2,4,49,0.52,两年以上,23,屯门,0.96,1,100000,3,38667,1849,48,2,7,0,1,6,257552,0,8426,58,Y,22,0.27,8610
否,8点,II,0,3,9,0.61,三个月内,19,南区,0.86,1,20000,2,15000,1532,12,4,4,0,0,0,48798,0,3576,30,Y,4,0.75,0
是,9点,II,0,1,9,0.5,半年到一年,19,西贡,0.96,1,20000,0,0,0,0,4,5,0,0,0,19131,0,574,3,Y,6,0.17,0
否,10点,II,11,3,19,0.51,两年以上,49,观塘,0.97,2,60000,1,90000,6710,18,3,4,0,0,0,223510,0,10195,41,G,12,1.08,10379
否,13点,BB,0,1,36,0.54,一年到两年,22,离岛,0,1,10000,0,0,0,0,1,1,0,0,0,0,0,0,0,Y,1,0,579
否,13点,II,24,12,189,0.58,两年以上,32,油尖旺,0.52,6,19000,5,41800,2521,28,18,34,1,1,3,294707,3,14376,76,Z,79,0.32,14560
否,21点,CC,0,3,15,0.58,半年到一年,26,西贡,0.54,3,11000,0,0,0,0,1,1,0,2,0,17699,0,531,26,R,0,0,1104
否,19点,II,1,3,22,0.54,两年以上,24,元朗,0.98,1,100000,2,15000,1587,12,3,3,0,0,6,129942,6,6120,58,Y,4,1,6305
否,15点,II,26,10,168,0.52,两年以上,31,元朗,0.47,3,106667,6,94681,4197,29,4,9,0,3,0,772371,0,29732,44,Z,55,0.53,29916
否,13点,II,15,8,119,0.35,两年以上,26,观塘,0.54,2,25000,6,49240,2995,26,6,14,0,2,16,307471,0,18777,70,R,61,0.36,18961
否,20点,II,1,4,50,0.53,两年以上,26,深水埗,0.79,2,17500,2,64500,2900,27,3,6,1,4,25,191392,0,6625,54,Y,5,0.8,6810
否,9点,HH,1,1,18,0.64,三个月到半年,22,沙田,0,0,0,1,26000,2763,12,0,3,0,0,0,26000,0,2763,26,R,3,0.67,3108
否,14点,DD,0,1,13,0.55,半年到一年,36,元朗,0,1,5000,0,0,0,0,0,0,0,0,7,0,0,0,15,Z,12,0.08,0
否,19点,II,13,7,79,0.38,两年以上,28,西贡,1.02,2,21000,5,41901,1903,32,7,10,1,1,30,286319,6,10801,83,Y,36,0.5,10985
否,18点,HH,0,1,14,0.32,半年到一年,21,大埔,0.99,1,40000,0,0,0,0,1,1,0,0,0,39711,0,1191,8,Y,2,0.5,1536
否,21点,II,4,9,60,0.53,两年以上,28,观塘,0.96,3,26667,3,109167,4767,22,7,9,0,0,0,444355,0,16616,42,R,12,0.58,0
否,2点,FF,0,2,44,0.58,一年到两年,24,葵青,0.95,2,10000,0,0,0,0,4,16,0,1,0,18989,0,570,5,V,3,0,0
是,13点,II,0,6,60,0.52,两年以上,25,北区,1.04,2,28000,1,96000,2784,48,0,0,0,0,9,338764,34,10274,64,Y,3,0.33,10459
否,13点,CC,0,3,24,0.5,两年以上,22,西贡,1.04,2,5500,0,0,0,0,0,0,0,0,0,11415,0,342,3,Y,0,0,916
否,19点,AA,0,3,49,0.58,两年以上,52,元朗,0,2,10000,0,0,0,0,0,0,0,0,0,0,0,0,14,G,0,0,579
否,22点,II,3,3,72,0.42,两年以上,21,北区,0.96,1,20000,2,45000,2559,24,2,5,0,0,0,159300,0,5696,44,Y,8,0.63,5880
否,22点,II,0,2,20,0.47,半年到一年,20,油尖旺,1.05,1,13000,1,10000,1066,12,2,2,0,1,0,26455,1,1476,34,R,2,0.5,1660
否,12点,II,4,3,44,0.37,两年以上,25,北区,1.04,1,70000,2,30000,1867,39,6,6,0,0,6,132942,6,5924,36,Y,8,0.63,0
否,14点,II,1,3,22,0.53,三个月到半年,19,元朗,0.79,2,42500,1,26000,2054,18,6,6,1,1,0,104397,0,4077,34,Y,13,0.31,0
否,16点,II,4,5,76,0.5,两年以上,28,沙田,0.67,2,65000,3,16667,1323,30,2,8,0,0,8,117607,8,6578,37,V,23,0.3,0
是,19点,HH,28,6,118,0.56,两年以上,27,中西区,0.98,2,38500,3,66667,3286,32,5,10,0,2,0,312453,7,12119,47,Y,34,0.82,7175
否,19点,II,4,6,73,0.73,两年以上,40,深水埗,1.04,2,51000,2,52500,2928,42,6,8,0,1,6,211068,1,9038,15,K,10,0.7,8125
否,20点,HH,9,3,53,0.46,两年以上,35,西贡,0.72,2,61500,1,160000,5254,48,2,2,0,0,7,267448,7,7918,40,Z,4,1,8263
否,4点,GG,2,1,30,0.51,两年以上,36,元朗,0.98,1,100000,0,0,0,0,3,3,0,0,4,98018,0,2941,10,Z,4,0.75,3286
否,0点,CC,5,1,22,0.51,一年到两年,25,油尖旺,0.65,1,20000,0,0,0,0,0,0,0,0,0,12998,0,390,18,R,1,0,963
是,0点,II,14,7,58,0.4,两年以上,30,深水埗,0.95,2,10000,5,28412,1915,25,5,8,0,1,0,127322,0,10146,60,Z,22,0.41,10330
是,16点,II,1,4,23,0.63,半年到一年,19,葵青,0.87,2,15000,2,22500,1538,36,2,3,0,3,0,66560,0,3859,75,Y,11,0.45,4044
否,3点,II,4,4,61,0.51,两年以上,26,南区,0.99,2,24500,2,96000,3441,30,1,1,0,1,0,292701,0,8344,51,Y,2,1,8529
否,16点,CC,0,5,25,0.39,半年到一年,25,沙田,0.17,4,14550,1,205000,3785,60,0,0,0,2,0,195608,0,4088,27,Y,0,0,4662
否,0点,GG,4,2,51,0.62,两年以上,38,元朗,0.8,2,77000,0,0,0,0,5,7,1,1,7,123655,6,3710,19,Z,7,0.14,4055
否,9点,II,6,2,47,0.58,两年以上,30,观塘,0.23,1,80000,1,100000,3514,48,0,1,0,0,30,113919,1,4056,22,Z,2,0.5,4240
否,12点,II,2,5,35,0.59,两年以上,24,沙田,0.86,3,11666,2,25000,1519,36,1,2,0,0,8,79161,30,3935,36,Y,8,0.63,4120
否,13点,HH,1,2,68,0.45,两年以上,28,观塘,1.21,2,203500,0,0,0,0,2,2,0,1,0,492461,1,14774,93,Y,4,0,15119
否,13点,II,3,5,46,0.69,两年以上,29,东区,0.95,3,51667,2,98000,4294,33,1,2,0,1,0,305467,1,13025,93,Y,4,1.5,13210
否,15点,II,2,0,14,0.1,两年以上,30,北区,0.74,2,34000,2,32500,2069,24,1,1,0,0,0,141355,0,6578,16,V,6,0.33,184
否,17点,II,0,5,15,0.53,三个月内,23,元朗,0.58,2,7500,3,10000,1058,12,9,9,0,0,0,40163,0,3433,19,R,9,0.56,3617
否,22点,HH,5,5,35,0.58,一年到两年,20,屯门,0.98,5,55600,0,0,0,0,2,4,0,4,0,272369,0,8171,45,Y,7,0.14,8516
否,0点,HH,0,1,4,0.38,三个月到半年,26,中西区,1,1,10000,0,0,0,0,2,2,0,1,0,10041,0,301,3,Y,2,0,646
否,17点,BB,0,1,12,0.58,一年到两年,21,深水埗,0.61,1,8000,0,0,0,0,0,0,0,1,0,4851,0,146,2,Y,2,0,725
否,4点,II,1,8,62,0.67,两年以上,35,九龙城,0.88,5,39000,2,50000,3854,18,6,6,1,1,0,260401,0,12860,43,Z,9,0.44,9469
否,16点,HH,11,7,56,0.52,一年到两年,28,观塘,0.6,3,13333,4,61727,2397,35,1,5,0,2,0,287750,0,10304,61,V,9,0.67,10649
否,11点,II,24,10,111,0.55,两年以上,31,大埔,1.02,4,26000,5,59485,2130,48,4,5,2,4,0,346737,0,13820,95,Z,18,1.56,14004
否,23点,BB,1,3,33,0.63,一年到两年,21,油尖旺,0.24,3,10000,0,0,0,0,0,0,1,5,0,7108,0,213,4,P,0,0,792
否,12点,II,4,7,137,0.51,半年到一年,30,元朗,0.98,5,29400,2,35000,1841,24,1,2,0,3,12,195354,1,8014,67,Z,26,0.12,8198
是,11点,GG,0,2,54,0.55,两年以上,27,黄大仙,0.98,2,112000,0,0,0,0,3,3,0,0,0,218978,0,6569,35,R,1,1,6914
否,15点,II,0,3,16,0.51,三个月到半年,23,元朗,0.96,1,70000,2,75000,3334,36,0,3,0,0,0,302985,0,8688,46,Y,3,1,0
否,17点,II,5,6,50,0.58,两年以上,28,屯门,0.79,3,29333,3,20000,2060,14,1,13,0,0,30,134992,0,8276,41,R,20,0.5,8461
否,17点,HH,0,1,5,0.6,一年到两年,19,深水埗,0.98,1,5000,0,0,0,0,1,1,1,3,0,4905,0,147,1,R,1,0,492
否,21点,CC,0,1,4,0.42,两年以上,23,黄大仙,0.84,1,10000,0,0,0,0,0,0,0,0,0,8358,0,251,3,Y,0,0,824
